Region,Country Name,Mobile users per capita,Population: Total (count),Year,Migration: Top 3 destinations,Migration: Top 3 sources
Europe,Iceland,0.76,281205.0,2000,"[('Germany', 6984.0), ('Denmark', 5750.0), ('Norway', 3860.0)]",
Asia,India,0.00,1053898107.0,2000,"[('Pakistan', 2512906.0), ('United States', 1041320.0), ('Saudi Arabia', 1007649.0)]",
Asia,Indonesia,0.02,213395411.0,2000,"[('Malaysia', 885328.0), ('Saudi Arabia', 286600.0), ('Netherlands', 155137.0)]",
Middle East,"Iran, Islamic Rep.",0.01,65342319.0,2000,"[('United States', 294355.0), ('Germany', 108486.0), ('United Arab Emirates', 76907.0)]",
Middle East,Iraq,0.00,24313641.0,2000,"[('Iran, Islamic Rep.', 169650.0), ('Kuwait', 159233.0), ('United States', 93991.0)]",
Europe,Ireland,0.65,3805174.0,2000,"[('United Kingdom', 636751.0), ('France', 181039.0), ('United States', 163136.0)]",
Europe,Isle of Man,NA,76803.0,2000,[],
Middle East,Israel,0.70,6289000.0,2000,"[('West Bank and Gaza', 479728.0), ('United States', 125896.0), ('Canada', 16897.0)]",
Europe,Italy,0.74,56942108.0,2000,"[('Germany', 629291.0), ('United States', 547833.0), ('Switzerland', 336726.0)]",
The Americas,Jamaica,0.14,2589389.0,2000,"[('United States', 575845.0), ('United Kingdom', 152843.0), ('Canada', 118874.0)]",
Asia,Japan,0.53,126870000.0,2000,"[('United States', 500527.0), ('Brazil', 70837.0), ('United Kingdom', 59546.0)]",
Middle East,Jordan,0.08,4797500.0,2000,"[('Kuwait', 434725.0), ('West Bank and Gaza', 269988.0), ('Saudi Arabia', 127456.0)]",
Asia,Kazakhstan,0.01,14883626.0,2000,"[('Russian Federation', 2584955.0), ('Ukraine', 245072.0), ('Uzbekistan', 164799.0)]",
Africa,Kenya,0.00,31253701.0,2000,"[('United Kingdom', 130511.0), ('United States', 43978.0), ('Uganda', 43186.0)]",
Oceania,Kiribati,0.00,84010.0,2000,"[('United States', 6471.0), ('Naura', 1950.0), ('Solomon Islands', 1404.0)]",
Asia,"Korea, Dem. Rep.",0.00,22894095.0,2000,"[('Korea, Rep.', 431629.0), ('China', 40337.0), ('Hong Kong SAR, China', 29763.0)]",
