Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Europe,Belgium,0.55,10251250,2000,"[('France', 53553.0), ('Netherlands', 43999.0), ('United States', 41849.0)]","[('Italy', 203181.0), ('France', 113542.0), ('Morocco', 110962.0)]"
The Americas,Belize,0.07,249800,2000,"[('United States', 44013.0), ('Canada', 1472.0), ('France', 1262.0)]","[('Guatemala', 14672.0), ('El Salvador', 6038.0), ('Honduras', 4954.0)]"
Africa,Benin,0.01,6517810,2000,"[('Nigeria', 157826.0), ('Togo', 64427.0), (""Cote d'Ivoire"", 60847.0)]","[('Niger', 45137.0), ('Togo', 28664.0), ('Nigeria', 26569.0)]"
The Americas,Bermuda,0.21,62100,2000,"[('United States', 15254.0), ('Canada', 2128.0), ('Australia', 362.0)]","[('United Kingdom', 4818.0), ('United States', 3537.0), ('Canada', 2630.0)]"
Asia,Bhutan,0.00,571262,2000,"[('India', 7945.0), ('Nepal', 2362.0), ('Pakistan', 398.0)]","[('India', 30431.0), ('China', 616.0), ('Nepal', 488.0)]"
The Americas,Bolivia,0.07,8307248,2000,"[('Argentina', 237213.0), ('United States', 53658.0), ('Brazil', 20394.0)]","[('Argentina', 27612.0), ('Brazil', 14708.0), ('Mexico', 9557.0)]"
Europe,Bosnia and Herzegovina,0.03,3693698,2000,"[('Croatia', 459328.0), ('Germany', 186646.0), ('Austria', 152381.0)]","[('Germany', 15540.0), ('Austria', 4894.0), ('Greece', 3530.0)]"
Africa,Botswana,0.13,1757925,2000,"[('South Africa', 17676.0), ('Malawi', 8438.0), ('Mozambique', 3892.0)]","[('Mozambique', 11355.0), ('Malawi', 6380.0), ('Zimbabwe', 5444.0)]"
The Americas,Brazil,0.13,174425387,2000,"[('Japan', 242246.0), ('United States', 225330.0), ('Paraguay', 82987.0)]","[('Portugal', 212917.0), ('Japan', 70837.0), ('Italy', 54958.0)]"
Asia,Brunei Darussalam,0.29,327036,2000,"[('India', 30378.0), ('Malaysia', 5007.0), ('Canada', 4280.0)]","[('Malaysia', 58104.0), ('Philippines', 11170.0), ('Thailand', 9412.0)]"
Europe,Bulgaria,0.09,8170172,2000,"[('Turkey', 480716.0), ('United States', 36019.0), ('Greece', 33726.0)]","[('Russian Federation', 29185.0), ('Romania', 16801.0), ('Ukraine', 7794.0)]"
Africa,Burkina Faso,0.00,12294012,2000,"[(""Cote d'Ivoire"", 1252098.0), ('Ghana', 31964.0), ('Niger', 27134.0)]","[(""Cote d'Ivoire"", 418038.0), ('Mali', 64438.0), ('Ghana', 42086.0)]"
Africa,Burundi,0.00,6374347,2000,"[('Tanzania', 72272.0), ('Sudan', 51746.0), ('Rwanda', 34616.0)]","[('Rwanda', 29159.0), ('Congo, Dem. Rep.', 13072.0), ('Tanzania', 6689.0)]"
Asia,Cambodia,0.01,12446949,2000,"[('United States', 140684.0), ('Germany', 46299.0), ('Thailand', 29620.0)]","[('Vietnam', 122104.0), ('Thailand', 100363.0), ('China', 5089.0)]"
Africa,Cameroon,0.01,15678269,2000,"[('Chad', 35126.0), ('Gabon', 23481.0), ('Nigeria', 16735.0)]","[('Nigeria', 72187.0), ('Chad', 65397.0), ('Congo, Dem. Rep.', 15382.0)]"
The Americas,Canada,0.28,30769700,2000,"[('United States', 950549.0), ('United Kingdom', 76106.0), ('France', 31846.0)]","[('United Kingdom', 606723.0), ('China', 336302.0), ('India', 313999.0)]"
Africa,Cape Verde,0.05,437238,2000,"[('Portugal', 43032.0), ('United States', 27182.0), ('Mozambique', 17363.0)]","[('Sao Tome and Principe', 3433.0), ('Angola', 2209.0), ('Portugal', 1810.0)]"
The Americas,Cayman Islands,0.27,40195,2000,"[('United States', 1012.0), ('Canada', 136.0), ('Puerto Rico', 80.0)]","[('Jamaica', 10628.0), ('United States', 3031.0), ('United Kingdom', 2344.0)]"
Africa,Central African Republic,0.00,3701607,2000,"[('Chad', 9142.0), ('Sudan', 2847.0), ('Congo, Dem. Rep.', 1979.0)]","[('Chad', 9103.0), ('Congo, Dem. Rep.', 4724.0), ('Cameroon', 1565.0)]"
Africa,Chad,0.00,8222327,2000,"[('Cameroon', 65397.0), ('Nigeria', 18127.0), ('Sudan', 12323.0)]","[('Cameroon', 35126.0), ('Nigeria', 16799.0), ('Sudan', 10800.0)]"
NA,Channel Islands,NA,145330,2000,[],[]
The Americas,Chile,0.22,15419820,2000,"[('Argentina', 219104.0), ('United States', 85597.0), ('Sweden', 26547.0)]","[('Argentina', 45713.0), ('Peru', 35416.0), ('Bolivia', 10556.0)]"
Asia,China,0.07,1262645000,2000,"[('Hong Kong SAR, China', 2164744.0), ('United States', 1016412.0), ('Singapore', 348383.0)]","[('Korea, Rep.', 47152.0), ('Korea, Dem. Rep.', 40337.0), ('Philippines', 17828.0)]"
The Americas,Colombia,0.06,39764166,2000,"[('Venezuela, RB', 617744.0), ('United States', 533019.0), ('Spain', 140748.0)]","[('Venezuela, RB', 37169.0), ('United States', 15062.0), ('Ecuador', 11366.0)]"
Africa,Comoros,0.00,562469,2000,"[('Mayotte', 29800.0), ('Madagascar', 7378.0), ('United Kingdom', 4902.0)]","[('Madagascar', 11403.0), ('Mayotte', 1010.0), ('France', 573.0)]"
Africa,"Congo, Dem. Rep.",0.00,49626200,2000,"[('Rwanda', 288278.0), ('Uganda', 86624.0), ('Sudan', 53612.0)]","[('France', 51717.0), ('Belgium', 34358.0), ('United Kingdom', 29360.0)]"
Africa,"Congo, Rep.",0.02,3135773,2000,"[('South Africa', 7316.0), ('Gabon', 7284.0), ('Zimbabwe', 4819.0)]","[('Congo, Dem. Rep.', 13781.0), ('Central African Republic', 1739.0), ('Angola', 1693.0)]"
The Americas,Costa Rica,0.05,3919180,2000,"[('United States', 76623.0), ('Nicaragua', 5469.0), ('Panama', 4735.0)]","[('Nicaragua', 226582.0), ('Panama', 10279.0), ('United States', 9520.0)]"
Africa,Cote d'Ivoire,0.03,16581653,2000,"[('Burkina Faso', 418038.0), ('Mali', 74193.0), ('Italy', 12381.0)]","[('Burkina Faso', 1252098.0), ('Mali', 444425.0), ('Guinea', 129807.0)]"
Europe,Croatia,0.23,4426000,2000,"[('Germany', 224721.0), ('Austria', 85547.0), ('United States', 58970.0)]","[('Bosnia and Herzegovina', 459328.0), ('Serbia and Montenegro', 87639.0), ('Slovenia', 22177.0)]"
The Americas,Cuba,0.00,11104313,2000,"[('United States', 894560.0), ('Spain', 40965.0), ('United Kingdom', 18288.0)]","[('Spain', 5209.0), ('Russian Federation', 2186.0), ('Haiti', 1005.0)]"
The Americas,Curacao,NA,133860,2000,[],[]
Europe,Cyprus,0.23,943294,2000,"[('United Kingdom', 79291.0), ('France', 29024.0), ('Australia', 19299.0)]","[('United Kingdom', 16800.0), ('Greece', 10857.0), ('Georgia', 6945.0)]"
Europe,Czech Republic,0.42,10272322,2000,"[('Germany', 402366.0), ('France', 220766.0), ('Slovak Republic', 74910.0)]","[('Slovak Republic', 287874.0), ('Ukraine', 33595.0), ('Poland', 24924.0)]"
Europe,Denmark,0.63,5339616,2000,"[('Sweden', 37783.0), ('United States', 33156.0), ('France', 26958.0)]","[('Turkey', 29369.0), ('Bosnia and Herzegovina', 28233.0), ('Germany', 26565.0)]"
Africa,Djibouti,0.00,731930,2000,"[('Ethiopia', 1513.0), ('United Kingdom', 919.0), ('Canada', 486.0)]","[('Somalia', 41968.0), ('Ethiopia', 25437.0), ('Eritrea', 3259.0)]"
The Americas,Dominica,0.02,69672,2000,"[('United States', 17967.0), ('Guadeloupe', 6275.0), ('Virgin Islands (U.S.)', 4919.0)]","[('Guadeloupe', 846.0), ('United Kingdom', 352.0), ('United States', 348.0)]"
The Americas,Dominican Republic,0.08,8591967,2000,"[('United States', 706894.0), ('Spain', 35587.0), ('Italy', 17851.0)]","[('Haiti', 228274.0), ('Venezuela, RB', 17358.0), ('United States', 11114.0)]"
The Americas,Ecuador,0.04,12345023,2000,"[('United States', 302705.0), ('Spain', 176212.0), ('Venezuela, RB', 29027.0)]","[('Colombia', 50510.0), ('United States', 10824.0), ('Peru', 5090.0)]"
Africa,"Egypt, Arab Rep.",0.02,67648419,2000,"[('Saudi Arabia', 980205.0), ('Libya', 318394.0), ('United Arab Emirates', 133986.0)]","[('West Bank and Gaza', 41067.0), ('Sudan', 15809.0), ('Germany', 9983.0)]"
The Americas,El Salvador,0.13,5940305,2000,"[('United States', 827583.0), ('Canada', 38167.0), ('Guatemala', 11854.0)]","[('Honduras', 8802.0), ('Guatemala', 6698.0), ('Nicaragua', 5896.0)]"
Africa,Equatorial Guinea,0.01,520380,2000,"[('Gabon', 38709.0), ('Spain', 10778.0), ('Nigeria', 3153.0)]","[('Cameroon', 1863.0), ('Spain', 741.0), ('Nigeria', 609.0)]"
Africa,Eritrea,0.00,3667576,2000,"[('Ethiopia', 255018.0), ('Saudi Arabia', 30072.0), ('United States', 17438.0)]","[('Uganda', 2854.0), ('Sudan', 1667.0), ('Congo, Dem. Rep.', 1335.0)]"
Europe,Estonia,0.41,1369515,2000,"[('Russian Federation', 67402.0), ('Germany', 42892.0), ('Finland', 31597.0)]","[('Russian Federation', 190599.0), ('Ukraine', 25185.0), ('Belarus', 14883.0)]"
Africa,Ethiopia,0.00,65577897,2000,"[('United States', 71578.0), ('Israel', 66967.0), ('Djibouti', 25437.0)]","[('Eritrea', 255018.0), ('Somalia', 101938.0), ('Rwanda', 12420.0)]"
Europe,Faeroe Islands,0.37,45743,2000,"[('Denmark', 9914.0), ('France', 2665.0), ('Norway', 921.0)]","[('Iceland', 411.0), ('Norway', 216.0), ('Poland', 202.0)]"
Oceania,Fiji,0.07,811718,2000,"[('Australia', 43695.0), ('United States', 31505.0), ('New Zealand', 25402.0)]","[('India', 4531.0), ('Australia', 1526.0), ('New Zealand', 1428.0)]"
Europe,Finland,0.72,5176209,2000,"[('Sweden', 193364.0), ('France', 79086.0), ('United States', 23608.0)]","[('Estonia', 31597.0), ('Sweden', 28981.0), ('Russian Federation', 10527.0)]"
Europe,France,0.48,60910922,2000,"[('United States', 198061.0), ('Spain', 126435.0), ('United Kingdom', 116631.0)]","[('Algeria', 1057135.0), ('Poland', 800387.0), ('Tunisia', 310949.0)]"
Oceania,French Polynesia,0.17,237638,2000,"[('United States', 7709.0), ('New Caledonia', 3514.0), ('France', 477.0)]","[('France', 21581.0), ('New Caledonia', 2934.0), ('South Africa', 709.0)]"
Africa,Gabon,0.10,1235274,2000,"[('Mali', 4543.0), ('Ghana', 4040.0), ('Germany', 1228.0)]","[('Equatorial Guinea', 38709.0), ('Mali', 26445.0), ('Benin', 25017.0)]"
Africa,"Gambia, The",0.00,1297084,2000,"[('Senegal', 7374.0), ('Spain', 5083.0), ('Nigeria', 4312.0)]","[('Senegal', 98366.0), ('Guinea', 33489.0), ('Guinea-Bissau', 10281.0)]"
Asia,Georgia,0.04,4418300,2000,"[('Russian Federation', 628973.0), ('Israel', 86254.0), ('Germany', 75104.0)]","[('Russian Federation', 119977.0), ('Ukraine', 41382.0), ('Armenia', 23674.0)]"
Europe,Germany,0.59,82211508,2000,"[('United States', 1250815.0), ('United Kingdom', 338110.0), ('Turkey', 272995.0)]","[('Turkey', 2008979.0), ('Poland', 1999975.0), ('Russian Federation', 978793.0)]"
Africa,Ghana,0.01,19165490,2000,"[('Nigeria', 123169.0), (""Cote d'Ivoire"", 75072.0), ('United States', 68432.0)]","[('Togo', 40506.0), ('Burkina Faso', 31964.0), ('Mauritania', 28145.0)]"
Europe,Greece,0.54,10917482,2000,"[('Germany', 367554.0), ('United States', 179950.0), ('Australia', 115342.0)]","[('Albania', 420838.0), ('Bulgaria', 33726.0), ('Georgia', 21977.0)]"
The Americas,Greenland,0.27,56200,2000,"[('Denmark', 11934.0), ('France', 1760.0), ('Guatemala', 248.0)]","[('Denmark', 6808.0), ('Faeroe Islands', 182.0), ('Mexico', 43.0)]"
The Americas,Grenada,0.04,101522,2000,"[('United States', 27847.0), ('Trinidad and Tobago', 11335.0), ('Canada', 8755.0)]","[('Trinidad and Tobago', 3072.0), ('United States', 1317.0), ('St. Vincent and the Grenadines', 605.0)]"
Oceania,Guam,0.18,155147,2000,"[('United States', 47896.0), ('Northern Mariana Islands', 1607.0), ('Philippines', 1016.0)]","[('Philippines', 32675.0), ('United States', 19125.0), ('Micronesia, Fed. Sts.', 6994.0)]"
The Americas,Guatemala,0.08,11237101,2000,"[('United States', 489507.0), ('Mexico', 24148.0), ('Belize', 14672.0)]","[('El Salvador', 11854.0), ('Mexico', 10901.0), ('Nicaragua', 5321.0)]"
Africa,Guinea,0.01,8344486,2000,"[(""Cote d'Ivoire"", 129807.0), ('Senegal', 74213.0), ('Sierra Leone', 58908.0)]","[('Liberia', 117820.0), ('Sierra Leone', 97669.0), ('Mali', 9945.0)]"
Africa,Guinea-Bissau,0.00,1240655,2000,"[('Senegal', 42094.0), ('Gambia, The', 10281.0), ('Nigeria', 3206.0)]","[('Senegal', 6407.0), ('Guinea', 3547.0), ('Gambia, The', 513.0)]"
The Americas,Guyana,0.05,733101,2000,"[('United States', 219060.0), ('Canada', 82057.0), ('Suriname', 7919.0)]","[('Suriname', 2245.0), ('Brazil', 1042.0), ('Venezuela, RB', 1025.0)]"
The Americas,Haiti,0.01,8645371,2000,"[('United States', 435259.0), ('Dominican Republic', 228274.0), ('Canada', 52606.0)]","[('Dominican Republic', 12882.0), ('Cuba', 5379.0), ('United States', 3046.0)]"
The Americas,Honduras,0.02,6218151,2000,"[('United States', 288779.0), ('Nicaragua', 10960.0), ('El Salvador', 8802.0)]","[('El Salvador', 6644.0), ('Nicaragua', 5713.0), ('United States', 4946.0)]"
Asia,"Hong Kong SAR, China",0.82,6665000,2000,"[('Canada', 234201.0), ('United States', 207845.0), ('United Kingdom', 143805.0)]","[('China', 2164744.0), ('Malaysia', 70681.0), ('Macao SAR, China', 69229.0)]"
Europe,Hungary,0.30,10210971,2000,"[('United States', 93543.0), ('Germany', 71830.0), ('Canada', 49398.0)]","[('Romania', 133077.0), ('Serbia and Montenegro', 31051.0), ('Germany', 16733.0)]"
Europe,Iceland,0.76,281205,2000,"[('Germany', 6984.0), ('Denmark', 5750.0), ('Norway', 3860.0)]","[('Denmark', 2306.0), ('Sweden', 1549.0), ('Poland', 1493.0)]"
Asia,India,0.00,1053898107,2000,"[('Pakistan', 2512906.0), ('United States', 1041320.0), ('Saudi Arabia', 1007649.0)]","[('Bangladesh', 3789377.0), ('Pakistan', 1331659.0), ('Nepal', 649166.0)]"
Asia,Indonesia,0.02,213395411,2000,"[('Malaysia', 885328.0), ('Saudi Arabia', 286600.0), ('Netherlands', 155137.0)]","[('China', 81323.0), ('Taiwan, China', 11058.0), ('United Kingdom', 8517.0)]"
Middle East,"Iran, Islamic Rep.",0.01,65342319,2000,"[('United States', 294355.0), ('Germany', 108486.0), ('United Arab Emirates', 76907.0)]","[('Afghanistan', 762129.0), ('Iraq', 169650.0), ('Pakistan', 8372.0)]"
Middle East,Iraq,0.00,24313641,2000,"[('Iran, Islamic Rep.', 169650.0), ('Kuwait', 159233.0), ('United States', 93991.0)]","[('Kuwait', 8301.0), ('Egypt, Arab Rep.', 2510.0), ('Iran, Islamic Rep.', 1923.0)]"
Europe,Ireland,0.65,3805174,2000,"[('United Kingdom', 636751.0), ('France', 181039.0), ('United States', 163136.0)]","[('United Kingdom', 227440.0), ('United States', 24104.0), ('Germany', 10126.0)]"
Europe,Isle of Man,NA,76803,2000,[],[]
Middle East,Israel,0.70,6289000,2000,"[('West Bank and Gaza', 479728.0), ('United States', 125896.0), ('Canada', 16897.0)]","[('Russian Federation', 420072.0), ('Azerbaijan', 225396.0), ('Morocco', 187826.0)]"
Europe,Italy,0.74,56942108,2000,"[('Germany', 629291.0), ('United States', 547833.0), ('Switzerland', 336726.0)]","[('Morocco', 286498.0), ('Albania', 275300.0), ('Romania', 119123.0)]"
The Americas,Jamaica,0.14,2589389,2000,"[('United States', 575845.0), ('United Kingdom', 152843.0), ('Canada', 118874.0)]","[('United States', 6169.0), ('United Kingdom', 4722.0), ('Haiti', 1449.0)]"
Asia,Japan,0.53,126870000,2000,"[('United States', 500527.0), ('Brazil', 70837.0), ('United Kingdom', 59546.0)]","[('Korea, Rep.', 685943.0), ('China', 335495.0), ('Brazil', 242246.0)]"
Middle East,Jordan,0.08,4797500,2000,"[('Kuwait', 434725.0), ('West Bank and Gaza', 269988.0), ('Saudi Arabia', 127456.0)]","[('West Bank and Gaza', 104718.0), ('Egypt, Arab Rep.', 102174.0), ('Iraq', 36440.0)]"
Asia,Kazakhstan,0.01,14883626,2000,"[('Russian Federation', 2584955.0), ('Ukraine', 245072.0), ('Uzbekistan', 164799.0)]","[('Russian Federation', 1931909.0), ('Ukraine', 402671.0), ('Uzbekistan', 109989.0)]"
Africa,Kenya,0.00,31253701,2000,"[('United Kingdom', 130511.0), ('United States', 43978.0), ('Uganda', 43186.0)]","[('Uganda', 351083.0), ('Tanzania', 61151.0), ('Sudan', 48296.0)]"
