start_country,end_country,start_lat,start_long,end_lat,end_long,count
Croatia,Slovenia,45.1667,15.5,46,15,48609.0
Brazil,Portugal,-10,-55,39.5,-8,48521.0
Romania,Spain,46,25,40,-4,47854.0
France,Guadeloupe,46,2,16.25,-61.5833,47533.0
Poland,Kazakhstan,52,20,48,68,47273.0
Spain,Belgium,40,-4,50.8333,4,47129.0
Peru,Italy,-10,-76,42.8333,12.8333,46851.0
Samoa,New Zealand,-13.5833,-172.3333,-41,174,46795.0
Algeria,Israel,28,3,31.5,34.75,46734.0
Zimbabwe,Mozambique,-20,30,-18.25,35,46688.0
France,Italy,46,2,42.8333,12.8333,46629.0
Malta,Australia,35.8333,14.5833,-27,133,46557.0
Indonesia,Australia,-5,120,-27,133,46488.0
Cambodia,Germany,13,105,51,9,46299.0
Zambia,Zimbabwe,-15,30,-20,30,45838.0
Argentina,Chile,-34,-64,-30,-71,45713.0
Portugal,Spain,39.5,-8,40,-4,45479.0
China,Myanmar,35,105,22,98,45384.0
Croatia,Switzerland,45.1667,15.5,47,8,45025.0
Namibia,South Africa,-22,17,-29,24,44473.0
Mozambique,Tanzania,-18.25,35,TZA,-6,44345.0
Liberia,Cote d'Ivoire,6.5,-9.5,8,-5,44023.0
Fiji,Australia,-18,175,-27,133,43695.0
South Africa,Zimbabwe,-29,24,-20,30,43624.0
Spain,Brazil,40,-4,-10,-55,43545.0
Poland,Italy,52,20,42.8333,12.8333,43300.0
Peru,Spain,-10,-76,40,-4,43277.0
Kazakhstan,Belarus,48,68,53,28,43252.0
India,Italy,20,77,42.8333,12.8333,43249.0
Peru,Japan,-10,-76,36,138,43220.0
Kenya,Uganda,1,38,1,32,43186.0
Switzerland,Spain,47,8,40,-4,43159.0
Lebanon,Saudi Arabia,33.8333,35.8333,25,45,43106.0
Mexico,Canada,23,-102,60,-95,42939.0
Estonia,Germany,59,26,51,9,42892.0
Turkmenistan,Uzbekistan,40,60,41,64,42565.0
Sri Lanka,Italy,7,81,42.8333,12.8333,42113.0
Togo,Cote d'Ivoire,8,1.1667,8,-5,42108.0
Guinea-Bissau,Senegal,12,-15,14,-14,42094.0
Ghana,Burkina Faso,8,-2,13,-2,42086.0
Norway,Sweden,62,10,62,15,42012.0
Somalia,Djibouti,10,49,11.5,43,41968.0
Bangladesh,Afghanistan,24,90,33,65,41817.0
Morocco,Algeria,32,-5,28,3,41770.0
Ukraine,Georgia,49,32,42,43.5,41382.0
Portugal,Luxembourg,39.5,-8,49.75,6.1667,41352.0
Norway,Germany,62,10,51,9,41266.0
Nigeria,Cote d'Ivoire,10,8,8,-5,40975.0
Cuba,Spain,21.5,-80,40,-4,40965.0
